Parameter Value[Column model]	Parameter Value[Column model] - Upper Case	IGNORE	COLUMN_DESCRIPTION	Min Peak Width	Max Peak Width	Center
C18 (3 ?m, 1 mm x 75 mm; ACE)	C18 (3 ?M, 1 MM X 75 MM; ACE)	0	50 mm length, UPLC	5	20	1
C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)	C18 (3.5 µM, 2.1 MM X 150 MM; AGILENT TECHNOLOGIES)	0	150 mm length, UPLC	5	20	2
C18 (5 ?m, 3 mm x 75 mm; ACE)	C18 (5 ?M, 3 MM X 75 MM; ACE)	0	150 mm length, HPLC	8	80	3
C18 100 ≈ (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	C18 100 ≈ (1.8 µM, 2.1 MM X 100 MM; AGILENT TECHNOLOGIES)	0	100 mm length, UPLC	5	20	2
C18-PFP (2 ?m, 2.1 mm x 150 mm; ACE)	C18-PFP (2 ?M, 2.1 MM X 150 MM; ACE)	0	150 mm length, UPLC	5	20	2
Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)	CAROTENOID (C30) (3 µM, 2.1 MM X 250 MM; YMC)	0	150 mm length, UPLC	5	20	2
Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)	COGENT DIAMOND HYDRIDE (3 µM, 2.1 MM X 150 MM; MICROSOLV TECHNOLOGIES)	0	150 mm length, UPLC	5	20	2
Cogent Diamond Hydride (3.5 µm, 2.1 mm x 150 mm; MicroSolv Technologies)	COGENT DIAMOND HYDRIDE (3.5 µM, 2.1 MM X 150 MM; MICROSOLV TECHNOLOGIES)	0	150 mm length, UPLC	5	20	2
Cogent Diamond Hydride 100 ≈ (4 µm, 2.1 mm x 150 mm; MicroSolv Technologies)	COGENT DIAMOND HYDRIDE 100 ≈ (4 µM, 2.1 MM X 150 MM; MICROSOLV TECHNOLOGIES)	0	150 mm length, HPLC	8	80	3
CORTECS Solid Core T3 120≈ (1.6 µm, 2.1 mm x 100 mm; Waters)	CORTECS SOLID CORE T3 120≈ (1.6 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)	CORTECS UPLC C18 (1.6 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)	CORTECS UPLC C18 (1.6 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
CORTECS UPLC C18 (2.7 µm, 2.1 mm x 150 mm; Waters)	CORTECS UPLC C18 (2.7 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)	CORTECS UPLC HILIC (1.6 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
Develosil C30-UG (2 mm x 250 mm; Nomura Chemical)	DEVELOSIL C30-UG (2 MM X 250 MM; NOMURA CHEMICAL)	1	#VALUE!
Dionex IonPac AS11-HC (4 ?m, 2 mm x 250 mm; Thermo Scientific)	DIONEX IONPAC AS11-HC (4 ?M, 2 MM X 250 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
Discovery HS C18 (3 µm, 2.1 mm x 150 mm; Supelco)	DISCOVERY HS C18 (3 µM, 2.1 MM X 150 MM; SUPELCO)	0	150 mm length, UPLC	5	20	2
Discovery HS F5 (3 µm, 2.1 mm x 100 mm; Thermo Scientific)	DISCOVERY HS F5 (3 µM, 2.1 MM X 100 MM; THERMO SCIENTIFIC)	0	100 mm length, UPLC	5	20	2
Discovery HS F5 (3 µm, 2.1 mm x 150 mm; Thermo Scientific)	DISCOVERY HS F5 (3 µM, 2.1 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, UPLC	5	20	2
Discovery HS F5 (5 µm, 2.1 mm x 150 mm; Supelco)	DISCOVERY HS F5 (5 µM, 2.1 MM X 150 MM; SUPELCO)	0	150 mm length, HPLC	8	80	3
Fortis HILIC (3 µm, 3 mm x 150 mm; Fortis)	FORTIS HILIC (3 µM, 3 MM X 150 MM; FORTIS)	0	150 mm length, UPLC	5	20	2
Gemini C18 110 ≈ (5 µm, 2 mm x 150 mm; Phenomenex)	GEMINI C18 110 ≈ (5 µM, 2 MM X 150 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
Gemini C18 110 ≈ (5 µm, 4.6 mm x 50 mm; Phenomenex)	GEMINI C18 110 ≈ (5 µM, 4.6 MM X 50 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
